Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3
29620,12934,Abbeville,South Carolina,6,0,11,5,3,7,3,2536,212.5,536.35,98%,40,6,0,8,3,3,3,3
29628,2759,Abbeville,South Carolina,4,0,8,3,2,5,2,100,51.12,126.06,95%,40,4,0,6,3,3,3,3
29638,2944,Abbeville,South Carolina,6,1,13,4,4,6,4,272,82.79,222.35,95%,40,5,0,7,2,2,2,2
29639,1742,Abbeville,South Carolina,3,0,8,3,3,5,3,163,93.12,223.75,90%,40,3,0,5,3,3,3,3
70516,1546,Acadia,Louisiana,4,3,12,2,2,4,2,49,2.76,9.41,33%,69.99,4,2,8,2,1,2,1
70525,13150,Acadia,Louisiana,7,3,15,5,3,8,3,687,28.82,105,73%,55,6,2,10,3,2,3,2
70526,19206,Acadia,Louisiana,6,4,16,3,3,6,3,2797,99.12,240.35,88%,65.99,5,2,9,2,1,2,1
70531,1261,Acadia,Louisiana,5,4,15,3,1,5,1,1231,26.19,84.97,40%,55,1,1,4,0,0,0,0
70537,541,Acadia,Louisiana,3,2,11,1,1,3,1,0,0,0,44%,69.99,2,1,5,1,1,1,1
70543,4077,Acadia,Louisiana,4,4,14,3,2,6,2,356,45.57,116.82,66%,69.99,2,1,5,1,1,1,1
70559,2943,Acadia,Louisiana,6,5,17,3,3,6,3,40,4.57,10.03,13%,65.99,4,2,8,2,1,2,1
70578,16122,Acadia,Louisiana,9,3,18,7,6,10,6,3114,54.53,162.9,76%,35,5,2,9,3,2,3,2
23302,155,Accomack,Virginia,2,0,7,1,1,3,1,,,,47%,59.99,6,1,9,1,1,1,1
23345,NULL,Accomack,Virginia,,,,,,,,,,,,,,,,,,,
23357,776,Accomack,Virginia,4,2,11,2,2,5,3,,,,49%,59.99,8,1,11,2,2,2,2
23358,152,Accomack,Virginia,1,1,7,0,0,3,1,,,,0%,100,5,1,8,0,0,0,0
23359,776,Accomack,Virginia,3,2,10,1,1,3,1,,,,78%,59.99,7,1,10,1,1,1,1
23396,NULL,Accomack,Virginia,,,,,,,,,,,,,,,,,,,
23399,NULL,Accomack,Virginia,,,,,,,,,,,,,,,,,,,
23404,NULL,Accomack,Virginia,,,,,,,,,,,,,,,,,,,
23409,84,Accomack,Virginia,1,1,7,1,1,3,1,,,,18%,59.99,0,1,3,0,0,0,0
23416,356,Accomack,Virginia,4,1,10,2,2,4,2,,,,88%,59.99,5,1,8,1,1,1,1
23426,225,Accomack,Virginia,2,1,8,1,1,4,1,,,,99%,59.99,1,1,4,0,0,0,0
23442,1059,Accomack,Virginia,3,2,10,1,1,3,1,,,,86%,59.99,4,1,7,1,1,1,1
23488,201,Accomack,Virginia,2,1,8,1,1,4,1,,,,54%,59.99,2,0,4,0,0,0,0
23301,1831,Accomack,Virginia,4,2,11,2,2,5,3,826,19.57,46.58,67%,59.99,3,1,6,2,2,2,2
23303,741,Accomack,Virginia,3,2,10,1,1,3,1,0,0,0,94%,59.99,1,1,4,0,0,0,0
23306,1088,Accomack,Virginia,3,2,10,1,1,4,2,24,74.26,93.24,44%,59.99,2,2,6,1,1,1,1
23308,2106,Accomack,Virginia,3,4,12,1,1,4,2,2,223.15,223.15,46%,59.99,2,1,5,1,1,1,1
23336,2941,Accomack,Virginia,6,2,13,4,4,7,4,736,52.39,173.35,100%,59.99,4,1,7,2,2,2,2
23337,377,Accomack,Virginia,3,0,8,1,1,3,1,10,273.97,426.99,94%,59.99,2,1,5,1,1,1,1
23356,1246,Accomack,Virginia,3,2,10,1,1,4,1,8,25.87,84.4,100%,59.99,1,1,4,0,0,0,0
23395,645,Accomack,Virginia,3,2,10,2,2,5,2,20,4.1,5.08,64%,59.99,3,1,6,2,2,2,2
23410,2015,Accomack,Virginia,3,2,10,1,1,4,2,1616,2.75,5.17,63%,59.99,2,1,5,1,1,1,1
23415,1893,Accomack,Virginia,5,3,13,3,3,6,3,32,72.55,373.27,81%,59.99,2,1,5,1,1,1,1
23417,4047,Accomack,Virginia,4,3,12,2,2,6,3,8200,3.8,5.8,49%,59.99,3,2,7,2,2,2,2
23418,863,Accomack,Virginia,3,2,10,1,1,3,2,634,7.71,22.95,77%,59.99,2,1,5,1,1,1,1
23420,2376,Accomack,Virginia,3,3,11,1,1,4,2,28,1.75,4.41,40%,59.99,2,1,5,1,1,1,1
23421,4255,Accomack,Virginia,3,2,10,1,1,4,2,402,26.24,74.01,46%,59.99,2,1,5,1,1,1,1
83708,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83720,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83721,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83722,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83724,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83725,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83726,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83727,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83728,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83729,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83730,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83731,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83732,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83733,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83735,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83756,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83757,NULL,Ada,Idaho,,,,,,,,,,,,,,,,,,,
83616,22780,Ada,Idaho,4,5,15,4,3,7,3,8306,72.7,211.09,100%,39.95,7,2,11,4,4,4,4
83634,24494,Ada,Idaho,3,5,14,3,3,7,3,8488,56.05,195.36,100%,55,2,1,5,2,2,2,2
83642,37008,Ada,Idaho,7,5,18,7,6,11,6,39933,55.62,168.36,100%,39.95,7,1,10,5,4,5,4
83646,47098,Ada,Idaho,4,5,15,4,4,7,4,47476,56.33,170.44,100%,55,8,1,11,5,4,5,4
83669,7365,Ada,Idaho,4,5,15,4,4,7,4,4520,48.52,140.5,100%,55,3,2,7,3,2,4,3
83702,22293,Ada,Idaho,7,5,18,5,4,8,4,67758,35.74,109.38,100%,55,8,4,14,4,3,4,3
83703,16565,Ada,Idaho,5,5,16,5,4,8,4,38432,52.67,136.9,100%,55,4,2,8,3,2,3,2
83704,39628,Ada,Idaho,4,4,14,4,4,7,4,60461,40.35,94.79,100%,55,6,2,10,4,4,4,4
83705,26631,Ada,Idaho,3,4,13,3,3,6,3,17211,49.4,112.92,100%,55,6,2,10,4,4,4,4
83706,29732,Ada,Idaho,4,4,14,4,4,7,4,16183,52.23,157.57,100%,55,2,2,6,2,2,2,2
83709,50034,Ada,Idaho,4,5,15,4,4,7,4,57959,66.1,179.18,100%,55,6,2,10,4,4,4,4
83712,8148,Ada,Idaho,3,3,12,3,3,6,3,4488,27.05,57.37,100%,55,2,2,6,2,2,2,2
83713,28103,Ada,Idaho,5,5,16,4,3,7,3,31043,66.26,169.71,100%,55,8,1,11,5,4,5,4
83714,20290,Ada,Idaho,5,5,16,5,4,9,4,1404,49.15,99.56,100%,55,4,2,8,4,2,4,2
83716,14523,Ada,Idaho,3,5,14,3,3,7,3,3051,78.79,218.93,93%,55,2,2,6,2,2,2,2
50002,1297,Adair,Iowa,11,3,20,8,7,11,7,31,8.08,21.47,75%,49.95,7,3,11,2,2,2,2
50070,1489,Adair,Iowa,5,3,14,4,4,6,5,144,10.3,41.94,72%,69.99,7,3,11,2,2,2,2
50837,376,Adair,Iowa,6,2,15,4,4,6,4,414,15.93,44.78,65%,124,4,2,7,0,0,0,0
50846,1123,Adair,Iowa,8,2,16,5,4,7,4,69,3.23,7.17,77%,64.95,4,2,7,0,0,0,0
50849,2740,Adair,Iowa,10,3,19,6,6,8,6,32,25.92,65.73,88%,69.95,7,4,12,3,3,3,3
50858,796,Adair,Iowa,6,3,15,4,3,6,3,105,4.23,8.33,74%,69.95,4,4,9,1,1,1,1
42715,347,Adair,Kentucky,1,1,6,0,0,2,0,,,,0%,,2,1,5,0,0,0,0
42742,NULL,Adair,Kentucky,,,,,,,,,,,,,,,,,,,
42753,743,Adair,Kentucky,1,1,7,1,1,3,1,,,,93%,,9,1,12,0,0,0,0
42528,1524,Adair,Kentucky,5,1,12,4,4,6,4,76,9.89,22.4,91%,69.99,4,1,7,2,1,2,1
42728,15925,Adair,Kentucky,8,1,15,6,6,8,6,4565,24.6,67.02,81%,70,6,1,9,2,1,2,1
42741,480,Adair,Kentucky,3,1,8,2,2,4,2,3,7.78,8.65,41%,NULL,2,1,5,0,0,0,0
63540,150,Adair,Missouri,2,1,9,0,0,3,0,,,,95%,79.95,2,1,4,0,0,0,0
63501,21532,Adair,Missouri,9,2,17,4,4,7,4,10235,86.16,225.91,89%,55,6,2,9,1,1,1,1
63533,805,Adair,Missouri,1,1,8,1,0,4,0,40,31.78,93.95,28%,44.95,1,1,3,0,0,0,0
63546,1715,Adair,Missouri,6,1,13,3,2,6,2,66,23.71,68.04,42%,44.95,4,1,6,1,1,1,1
63559,1420,Adair,Missouri,3,2,11,1,1,3,1,251,14.56,29.51,97%,70,2,2,5,1,1,1,1
74457,608,Adair,Oklahoma,3,0,10,1,1,3,2,,,,1%,49.95,2,0,3,0,0,0,0
74931,1411,Adair,Oklahoma,2,0,9,2,2,4,3,1,13.08,13.08,41%,49.95,1,0,2,0,0,0,0
74960,13643,Adair,Oklahoma,5,1,13,4,4,6,5,529,13.83,16.12,62%,25,2,0,3,1,1,1,1
74964,2834,Adair,Oklahoma,6,0,12,6,4,8,5,46,11.14,14.68,76%,49.95,4,0,5,2,1,2,1
74965,5170,Adair,Oklahoma,5,0,11,3,2,5,3,121,10.78,25.98,89%,49.95,4,0,5,0,0,0,0
80019,1690,Adams,Colorado,3,4,15,3,3,5,4,14,7.05,7.67,97%,65,2,2,5,2,2,2,2
80022,42699,Adams,Colorado,4,3,14,4,4,7,5,16255,102.44,260.06,98%,39.95,4,2,7,4,4,4,4
80030,15329,Adams,Colorado,4,2,12,4,3,6,4,2388,96.89,260.39,100%,65,3,1,5,2,2,2,2
80031,33932,Adams,Colorado,3,3,12,3,3,5,4,31442,114.95,291.5,100%,65,2,1,4,2,2,2,2
80045,277,Adams,Colorado,3,2,11,3,3,5,4,1519,69.02,122.38,100%,65,2,1,4,2,2,2,2
80102,5514,Adams,Colorado,6,7,21,5,3,8,4,1364,23.43,49.34,100%,79.99,5,4,10,2,2,2,2
80136,4834,Adams,Colorado,5,4,17,4,4,6,5,4433,12.81,26.69,69%,66.95,4,3,8,2,1,2,1
80221,37779,Adams,Colorado,4,4,14,4,4,7,5,43533,74.43,221.59,99%,39.95,4,3,8,3,3,4,3
80229,49598,Adams,Colorado,3,3,12,3,3,6,4,28532,93.22,255.27,98%,39.95,2,2,5,2,2,2,2
80233,45386,Adams,Colorado,4,2,12,4,4,6,5,33193,103.36,262.93,100%,64.95,3,1,5,3,3,3,3
80234,25937,Adams,Colorado,3,2,11,3,3,5,4,22628,102.6,250.77,95%,65,3,1,5,3,3,3,3
